date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:39:08	386/386	---MCZ	200	added ('OK')	text/plain	etag:cacheable:09688d7e24dd1cfca0e8cc3c58ebb3a3	https://zoa-store-demo.myshopify.com/robots.txt		(from )
20:39:09	109146/109146	---MCZ	200	added ('OK')	text/html	etag:cacheable:365f568114c267016ce5197ed33da38e	https://zoa-store-demo.myshopify.com/	C:/My%20Web%20Sites/IDreamDress/zoa-store-demo.myshopify.com/index.html	(from )
20:39:09	990/990	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Oct%202018%2021:13:54%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/favicon.png?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/faviconc705.png	(from https://zoa-store-demo.myshopify.com/)
20:39:10	990/990	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Oct%202018%2016:39:10%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/icon-for-mobile.png?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/icon-for-mobilec705.png	(from https://zoa-store-demo.myshopify.com/)
20:39:10	990/990	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Oct%202018%2022:14:38%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/icon-for-mobile_57x57.png?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/icon-for-mobile_57x57c705.png	(from https://zoa-store-demo.myshopify.com/)
20:39:10	990/990	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Oct%202018%2016:39:11%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/icon-for-mobile_60x60.png?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/icon-for-mobile_60x60c705.png	(from https://zoa-store-demo.myshopify.com/)
20:39:11	990/990	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Oct%202018%2016:39:11%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/icon-for-mobile_72x72.png?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/icon-for-mobile_72x72c705.png	(from https://zoa-store-demo.myshopify.com/)
20:39:11	990/990	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Oct%202018%2022:14:36%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/icon-for-mobile_76x76.png?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/icon-for-mobile_76x76c705.png	(from https://zoa-store-demo.myshopify.com/)
20:39:11	990/990	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Oct%202018%2022:14:35%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/icon-for-mobile_114x114.png?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/icon-for-mobile_114x114c705.png	(from https://zoa-store-demo.myshopify.com/)
20:39:12	990/990	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Oct%202018%2016:39:12%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/icon-for-mobile_120x120.png?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/icon-for-mobile_120x120c705.png	(from https://zoa-store-demo.myshopify.com/)
20:39:12	990/990	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Oct%202018%2016:39:13%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/icon-for-mobile_144x144.png?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/icon-for-mobile_144x144c705.png	(from https://zoa-store-demo.myshopify.com/)
20:39:12	990/990	---M--	200	added ('OK')	image/png	date:Thu,%2018%20Oct%202018%2022:14:34%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/icon-for-mobile_152x152.png?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/icon-for-mobile_152x152c705.png	(from https://zoa-store-demo.myshopify.com/)
20:39:13	452/452	---M--	200	added ('OK')	image/png	date:Fri,%2019%20Oct%202018%2016:39:13%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/logo.png?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/logoc705.png	(from https://zoa-store-demo.myshopify.com/)
20:39:13	54151/54151	---M-Z	200	added ('OK')	text/css	date:Thu,%2018%20Oct%202018%2021:13:53%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/timber.scss.css?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/timber.scssc705.css	(from https://zoa-store-demo.myshopify.com/)
20:39:13	30966/30966	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2019:02:54%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/font-awesome.min.css?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/font-awesome.minc705.css	(from https://zoa-store-demo.myshopify.com/)
20:39:13	12904/12904	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2009:28:48%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/simple-line-icons.css?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/simple-line-iconsc705.css	(from https://zoa-store-demo.myshopify.com/)
20:39:14	51259/51259	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2019:02:46%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/ionicons.min.css?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/ionicons.minc705.css	(from https://zoa-store-demo.myshopify.com/)
20:39:14	1985/1985	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2019:01:52%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/zoa-font.css?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/zoa-fontc705.css	(from https://zoa-store-demo.myshopify.com/)
20:39:14	1729/1729	---M-Z	200	added ('OK')	text/css	date:Tue,%2028%20Aug%202018%2009:28:49%20GMT	http://cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/slick.css?8853292958715006578	C:/My%20Web%20Sites/IDreamDress/cdn.shopify.com/s/files/1/0022/2819/1305/t/3/assets/slickc705.css	(from https://zoa-store-demo.myshopify.com/)
